product_id,product_title,impressions,clicks,cost,conversions,conv_value,CPA,CVR_%
gla_32052,Штани чоловічі спортивні широкі,2512,61,763.73,0.0,0.0,,0.0
gla_32053,Штани чоловічі спортивні широкі,866,23,491.48,0.0,0.0,,0.0
gla_33450,"Прапор ""Згідно з наказом""",1252,28,297.87,0.0,0.0,,0.0
gla_32054,Штани чоловічі спортивні широкі,1675,20,291.2,0.0,0.0,,0.0
gla_27983,"Прапор ""П*зда п*дарам""",1078,9,277.77,0.5,749.5,555.54,5.555555555555555
gla_32051,Штани чоловічі спортивні широкі,865,17,236.55,0.0,0.0,,0.0
gla_30751,"Прапор ""Камікадзе""",843,12,228.41,0.0,0.0,,0.0
gla_32257,Зіп-худі unisex “Welcome to hell”,2467,34,227.79,0.5,850.0,455.58,1.4705882352941178
gla_28375,"Прапор ""Одного разу під Харковом""",343,6,200.26,0.0,0.0,,0.0
gla_34870,"Худі oversize ""Арта""",1027,5,197.94,0.0,0.0,,0.0
gla_32260,Зіп-худі unisex “Welcome to hell”,2380,25,192.73,0.0,0.0,,0.0
gla_28008,"Прапор ""Донецьк""",879,11,189.79,0.0,0.0,,0.0
gla_32256,Зіп-худі unisex “Welcome to hell”,982,13,178.46,0.0,0.0,,0.0
gla_32247,Штани жіночі спортивні широкі,545,16,176.59,0.0,0.0,,0.0
gla_34671,"Футболка ""Згідно з наказом""",1119,8,170.14,0.0,0.0,,0.0
gla_33510,"Прапор ""На виїзд""",463,5,163.14,0.0,0.0,,0.0
gla_34673,"Футболка ""Згідно з наказом""",1270,10,151.54,0.0,0.0,,0.0
gla_30321,"Прапор ""Інструктор""",81,2,149.0,0.0,0.0,,0.0
gla_32259,Зіп-худі unisex “Welcome to hell”,1736,20,147.08,0.0,0.0,,0.0
gla_34942,"Худі oversize ""Згідно з наказом""",1851,17,133.55,0.0,0.0,,0.0
gla_32061,Штани чоловічі спортивні джогери,64,3,133.32,0.0,0.0,,0.0
gla_34850,"Худі oversize ""Евак""",1245,8,129.6,0.0,0.0,,0.0
gla_34828,"Худі oversize ""Сапер""",724,10,128.9,0.0,0.0,,0.0
gla_34672,"Футболка ""Згідно з наказом""",1101,13,127.03,0.0,0.0,,0.0
gla_28130,"Прапор ""Очі темряви""",78,3,110.6,0.0,0.0,,0.0
gla_32078,Зіп-худі unisex “Welcome to hell”,379,6,110.09,0.0,0.0,,0.0
